URL	TITLE	H1	RESPONSE_TIME	LEVEL
https://py4you.com/	Python for You: IT Разработка и Курсы Программирования	Python for You	0.1	1
https://py4you.com/courses/	Курсы Python - Интенсивное обучение программированию	Выбери Свой Курс Python	0.11	2
https://py4you.com/development/	Разработка ПО на Python. Разработка сайтов, парсинг данных, автоматизация рекламы.	Разработка IT проектов	0.84	2
https://py4you.com/courses/python-for-seo/	Курс Python для SEO - Онлайн Интенсив 64 часа занятий за 300 USD	Python для SEO	0.8	3
https://py4you.com/courses/python-basic/	Курс Python Basic - Онлайн Интенсив 28 часов занятий за 150 USD	Python Basic	0.71	3
https://py4you.com/certificates/	Сертификаты выпускников курсов py4you.com	Сертификаты выпускников	0.11	3
https://py4you.com/cdn-cgi/l/email-protection#7d0e180f1a18145349183d1a101c1411531e1210	Email Protection | Cloudflare	Email Protection	0.05	3
https://py4you.com/courses/python-django/	Курс Python Django - Онлайн Интенсив 30 часов занятий за 400 USD	Python Django	0.72	3
https://py4you.com/cdn-cgi/l/email-protection#f685938491939fd8c293b6919b979f9ad895999b	Email Protection | Cloudflare	Email Protection	0.12	3
https://py4you.com/cdn-cgi/l/email-protection#f98a9c8b9e9c90d7cd9cb99e94989095d79a9694	Email Protection | Cloudflare	Email Protection	0.03	4
https://py4you.com/cdn-cgi/l/email-protection#c5b6a0b7a2a0acebf1a085a2a8a4aca9eba6aaa8	Email Protection | Cloudflare	Email Protection	0.04	4
https://py4you.com/cdn-cgi/l/email-protection#1d6e786f7a78743329785d7a707c7471337e7270	Email Protection | Cloudflare	Email Protection	0.05	4
